2015-01-15,18:19:21,0,VirtualCarolyn,1421363963010,Hello! I'm VirtualCarolyn. Take a minute to introduce yourselves.,INTRODUCE
2015-01-15,18:20:21,0,VirtualCarolyn,1421364023228,"While I may not tell how to develop the desired app directly, I can help/guide you planning its development.",SETUP
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2015-01-15,18:28:56,0,VirtualCarolyn,1421364537315,Hello! I'm VirtualCarolyn. Take a minute to introduce yourselves.,INTRODUCE
2015-01-15,18:29:10,0,socket.username,1421364551009,Hi,
