what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419892201344
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1419892201454
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419892202141
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419892216316
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419892241760
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1419892242505
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1419892242820
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1419892264875
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419892268516
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1419892270035
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1419892271580
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419892271968
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1419892272110
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1419892272216
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419892272938
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419892278702
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419892297903
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1419892298660
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1419892298840
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419892302285
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419892346500
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419892367766
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419892400689
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419892490394
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419892558500
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1419892560287
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1419892575551
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1419892621089
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419892624092
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1419892625598
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1419892627391
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419892627782
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1419892627930
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1419892628045
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419892628774
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419892635180
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1419892638018
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1419892666266
