what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419628869883
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419628878289
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419629064214
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629064365
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1419629064377
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419629066026
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629067968
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629091248
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1419629091286
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1419629091286
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1419629096442
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419629096488
closed,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1419629096506
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.AllMarkersView",1419629098855
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419629110179
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629112637
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629132185
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1419629132227
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1419629132227
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629145791
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629161041
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1419629161088
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1419629161088
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629177838
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629262692
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629266524
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629283824
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1419629283891
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1419629283891
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629296533
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629305825
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1419629305887
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.AllMarkersView",1419629313005
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1419629328757
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629329747
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629365366
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629368077
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629455089
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629459518
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629489905
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629492109
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419629530000
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629530129
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629557029
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629591897
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1419629598865
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.AllMarkersView",1419629608686
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419629617597
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.AllMarkersView",1419629637460
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629688324
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629690959
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629695355
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419629723918
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629724085
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629740805
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629744242
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1419629744289
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.AllMarkersView",1419629758237
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419629767560
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629773828
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629775838
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1419629775887
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629787914
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629799392
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1419629803678
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629813825
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419629925952
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1419629929025
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.AllMarkersView",1419629935081
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419629935582
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419629935721
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419629953155
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.AllMarkersView",1419629982507
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419629982945
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419629983017
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419629993197
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419630011418
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419630014997
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419630015086
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419630015901
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419630016606
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419630016669
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419630018667
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419630061157
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419630189495
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.AllMarkersView",1419630209957
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419630221872
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419630469460
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419630476756
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419630915695
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419630918215
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419630954837
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419630957322
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419632172305
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419632178431
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1419632182975
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1419632184820
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419632187145
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419632192569
error,log,,,"Error logged from Debug Core: ",1419632215206
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1419632215517
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1419632215555
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419632215703
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1419632220311
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419632236457
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1419632245356
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1419632269549
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1419632274264
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1419632286324
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1419632288681
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1419632295736
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419632298216
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1419632303456
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1419632304936
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419632307121
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1419632311357
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419632314963
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419632318739
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1419632319948
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419632320330
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419632398376
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419632402750
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419632521425
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419632526344
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419632810418
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419632893762
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419632893872
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419632954959
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419632974738
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419632974799
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419633004303
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419633023935
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419633180371
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419633180436
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419633266950
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419633269851
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419633273786
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419633274246
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419633274308
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419634180684
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419634190080
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419634513760
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419634516979
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419634517046
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419634532758
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419634533341
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419634533409
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419634534519
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419634536602
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419634536660
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419634542698
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419634543206
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419634543265
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419634546789
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419634547235
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419634647271
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419634648820
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419634648886
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419634750381
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419634753906
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419634753971
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419634757805
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419634759874
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419634761289
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419634761635
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419634765289
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419634765639
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1419634805241
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419634805769
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1419634805829
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419634808789
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419634810165
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419634810373
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419636686840
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419785519299
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1419785519506
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419785520334
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419785522993
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419785525142
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419786725638
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419786731827
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1419786754604
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1419786754701
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419786813207
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419786880322
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419786880477
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419786915726
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419786950565
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419786950626
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419787003868
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419787006889
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419787010030
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419787010768
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419787010830
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419787012755
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1419787021032
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419787417933
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419787602165
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419787696315
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419787751088
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1419787765116
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419787765558
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1419787767716
opened,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1419787777784
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1419787777840
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419787778223
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1419787778286
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1419787778355
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419787778765
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419787792038
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419787815267
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419787835707
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1419787835748
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1419787836814
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1419787868338
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1419787868381
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1419787868876
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1419787869430
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1419787869441
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1419787869668
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1419787869723
opened,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1419787869849
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1419787869962
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1419787871013
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1419787871670
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1419787880708
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1419787883951
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1419787884002
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1419787884013
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419787884299
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1419787885710
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1419787888091
started,bundle,org.eclipse.pde,3.6.1.v201102101200,"org.eclipse.pde",1419787888325
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419787888424
