what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420540427220
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420540430127
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420540430663
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420540552979
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420540569833
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1420540589245
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1420540591356
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420540595523
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420540596505
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1420540596821
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420540596903
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1420540596939
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420540597461
error,log,,,"Problems encountered during text search.",1420540606690
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420540606808
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420540611253
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420540613178
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420540613362
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1420540628389
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420540657618
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420542344400
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420542344441
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420542375074
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1420542454216
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1420542455717
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420542464983
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420542478796
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420542486446
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420542526097
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1420542534270
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420542551504
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420542551535
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420542562126
