what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1420520341163
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420520341240
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1420520341273
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1420520341334
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420520341874
error,log,,,"Problems encountered during text search.",1420520348250
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1420520351851
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420520351967
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1420520351995
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1420520354202
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420520365324
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420520365375
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420520370052
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420520370175
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1420520374531
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1420520377162
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1420520378575
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1420520380071
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420520381295
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420520383657
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420520386520
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420520390019
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420520390040
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420520398354
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420520403525
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420520411878
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420520413026
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420521393630
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420521402934
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1420521499615
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420521507058
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1420521512934
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420521520049
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420521601879
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1420521606086
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420521607499
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420521626888
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420521971121
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420521972515
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420521975111
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1420521975178
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420522021569
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420522024483
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420522027507
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420522141996
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1420522150295
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420522153845
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420522172876
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420522174363
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420522190062
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1420522195926
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420522202302
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1420522211015
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1420522211108
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420522211183
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1420522211207
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1420522212302
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420522349533
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420522359474
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420522366816
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420522370041
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420522379912
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420522386100
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1420522390248
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420522392234
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420522503364
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1420522508178
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420522510951
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1420522520611
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1420522520628
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420522520682
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1420522520693
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420522522326
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420522539602
