what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425072081
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1421425074504
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1421425086212
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1421425088713
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1421425095193
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1421425099346
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1421425103259
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1421425106130
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425126907
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425127376
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1421425130202
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1421425132382
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425141120
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425141449
error,log,,,"Unhandled event loop exception",1421425141837
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1421425154290
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1421425156215
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1421425159280
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1421425162572
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1421425173241
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1421425175421
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1421425180907
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1421425185312
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425190421
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425278060
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425283468
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425291727
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425306884
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425319290
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1421425328298
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1421425330067
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1421425336405
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425338001
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425376788
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1421425388094
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425390258
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425397371
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425399814
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425415493
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425417462
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425545153
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425556037
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425566014
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1421425570707
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425572104
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425758854
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425764638
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425782976
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1421425786501
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1421425801057
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1421425814989
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1421425817819
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425819211
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425894595
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425897687
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425912068
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425916290
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425949851
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1421425950765
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1421425951830
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1421425952650
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1421425953873
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1421425954149
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1421425954488
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1421425955175
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1421425955698
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1421425956353
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1421425957792
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421425974871
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421426190720
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1421426202846
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1421426207036
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421426213414
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421426284910
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421426412353
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421426422608
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421426426982
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1421426432026
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421426432277
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1421426432310
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421426432717
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421426441444
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1421426448217
error,log,,,"Problems encountered during text search.",1421426459503
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421426459567
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1421426462113
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1421426466622
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1421426471481
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1421426510653
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1421426524612
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findNext",1421426525978
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findNext",1421426526433
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findNext",1421426526726
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findNext",1421426527087
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findNext",1421426527329
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findNext",1421426527563
