what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420693419514
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420693544652
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420693562516
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420693563558
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1420693564812
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420693569431
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420693573998
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420693583667
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1420693775639
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420693781918
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420693814688
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420693831077
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1420693833934
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420693834324
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420693851574
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1420693854730
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420693856254
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420693859626
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420693860695
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420693861946
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420693865832
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420693889435
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420693889942
error,log,,,"Unhandled event loop exception",1420693890660
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420693896800
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1420693914893
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420693917098
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1420693940558
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420693942508
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1420693959237
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420693961461
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420693962638
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420693965715
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420693970457
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420693982613
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420693983044
error,log,,,"Unhandled event loop exception",1420693983410
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420693986772
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420693987232
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420693992863
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420694001378
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420694005041
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420694072050
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420694100578
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420694130393
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420694141742
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420694143205
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1420694148840
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420694151147
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420694164848
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420694176202
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findNext",1420694179643
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420694199998
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1420694207417
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420694209534
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420694211180
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420694238193
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420694241525
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1420694257771
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420694259643
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420694264011
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1420694280762
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420694282884
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420694352046
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1420694355071
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420694369633
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420694372347
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420694405197
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420694494323
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420694504541
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420694511376
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1420694513387
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420694515928
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420694554909
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420694561354
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420694568278
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420694594469
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420694606694
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420694610568
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420694697489
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420694728884
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420694735911
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420694810073
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420694824796
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420694826859
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findNext",1420694830381
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findNext",1420694833033
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findNext",1420694837740
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findNext",1420694844572
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findNext",1420694845246
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1420694852680
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420694855847
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420694864760
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420694868083
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695006171
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findNext",1420695010638
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420695025200
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420695026896
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420695030206
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findNext",1420695036361
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findNext",1420695037751
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1420695105714
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420695108406
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420695113150
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420695117999
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1420695126328
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695128326
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695166739
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1420695184736
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420695192922
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695282971
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695283403
error,log,,,"Unhandled event loop exception",1420695284168
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420695286027
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1420695300984
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695303177
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695388354
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695391183
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695433122
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695437335
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695438483
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695454003
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695457824
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695462020
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695494305
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695497379
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695500573
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695503041
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695522806
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695536315
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695547826
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695554079
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695563450
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695584030
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695631786
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695640884
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695666171
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695675164
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695731849
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420695735125
