what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1420073767223
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1420073767408
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1420073787252
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1420073787809
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1420073787918
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1420073793512
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1420073794843
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1420073805549
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1420073808384
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1420073810342
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1420073816535
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1420073819347
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1420073820580
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1420073823040
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1420073824314
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420073836050
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420073841436
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1420073845617
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1420073849658
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1420073857082
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1420073861898
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1420073866113
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1420073879295
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1420073879838
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1420073894291
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420073896372
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420073996189
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420074001858
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420074003718
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1420074037034
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420074042488
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420074044472
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420074098691
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420074101186
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420074106732
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1420074119775
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420074119918
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1420074120507
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420074156591
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420074190274
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420074195530
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1420074204277
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420074204694
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1420074205056
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1420074205204
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420074205881
error,log,,,"Problems encountered during text search.",1420074211223
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420074220043
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420074221625
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420074222641
