what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420254764745
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420255759424
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420255766932
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420256607810
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420256609013
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420294978138
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1420294983160
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420294991472
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420295012092
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1420295012228
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1420295012351
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1420295012351
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1420295016315
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1420295024539
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1420295024653
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1420295039775
opened,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1420295041318
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1420295041759
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1420295073820
