what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420495466629
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1420495466644
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1420495468114
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420495470440
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420495590771
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420495661023
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420495712909
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420495715747
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420495715804
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1420495792983
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420495797494
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1420495800882
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420495800985
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420495801030
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1420495801078
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420495801563
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1420495818658
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420495818842
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420495818864
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1420495820107
error,log,,,"Problems encountered during text search.",1420495820525
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420495820688
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420495822555
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1420495822579
