what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420319417651
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420319420609
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420319422363
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420319465822
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1420319563719
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1420319569799
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1420319581010
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420319585722
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420319588490
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420319802047
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1420319802943
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420319805064
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420319895177
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1420319899138
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1420319914975
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1420319916614
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420320141450
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420320223771
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1420320225630
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420320227821
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420320228065
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420320231370
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1420320231438
